Name,Type,Tags,Event,Date,Place,"lat,long",Description,Source,Image,Role,Contacted,Column
Waka Maori Wooden Frame,Building,tuppawaka; media coverage; architecture,Tuppawaka,Winter 2011,Auckland,,The wooden frame of the Waka has been built and is ready to transport to the wharf.,PDF,,Construction of the Waka Maori,,
Kupenga Pedestrian Bridge,Building,,Vic park tunnel plans,,Vic Park Tunnel,,proposed bridge between land and sea over highway,Vic Park Tunnel plans (tunamau),,proposed bridge along the tunnel/highway,,
Pouhere Kuta Egress Structures,Building,,Vic park tunnel plans,,Vic Park Tunnel,,proposed design,Vic Park Tunnel plans (tunamau),,proposed egress structures in various places throughout the tunnel,,
Westhaven Walls and barries,Building,,Vic park tunnel plans,,Vic Park Tunnel,,tunnel separations,Vic Park Tunnel plans (tunamau),,running separations between both sides of the highway,,
Casino proposal,Building,,development proposal for the Viaduct Basin,,Viaduct Basic,,proposal for rebuilding the Viaduct Basin,The Auckland Waterfront Story Part 1,,"Casino by a Joint Venture including The Ports of Auckland, Turners and Growers and Fletcher Construction Ltd.",,
Whitbread Race Village,Building,,development proposal for the Viaduct Basin,,Viaduct Basic,,proposal for rebuilding the Viaduct Basin,The Auckland Waterfront Story Part 1,,posible development on the basin,,
Carnival Australia Cruise Company,Company,,Improving Auckland visitor economy,February 2008,Auckland,"-33.796293, 151.179417",Australia Cruise Company,ARC Queens Wharf Timeline,http://1.bp.blogspot.com/-a5mo8RCDQzs/VCPIejKeqTI/AAAAAAAAltg/Qq9bBwXPklU/s1600/Photo%2B1.jpg,,,
P&O Cruises,Company,,Improving Auckland visitor economy,Occtober 2009,Auckland,"-33.796798, 151.179801",Cruise Company,ARC Queens Wharf Timeline,https://static1.squarespace.com/static/5856f718cd0f68bab212fcd3/t/590582728419c22f9be8b9f8/1493533316470/P%26O-Pearl_Ship17.jpg?format=2500w,Announces launch of superliner cruise Pacific Pearl in historic move which recognises the growing popularity of cruising in New Zealand,,
Waterfront Public Open Space,Design Plan,,Design Competition,2009,Waterfront,"-36.840028, 174.768198",Open space on the wharf nearby Queen Street,QW Design Brief Stage 2,find image of open space,For visitors/events on the edge of the water - it was part of the guidelines for the design competition,,
Viaduct Basin Study,Design Plans,,Viaduct basin Study,1985,Viaduct Basic,,Study of the condition of the Viaduct basin on Auckland's waterfront,The Auckland Waterfront Story Part 1,http://www.aucklandcity.govt.nz/council/documents/central/pdfs/part1407.pdf,study to see the state of the basic,,
Open design competition,Design Plans,,design competition,1998,Britomart precinct,,opened a public design competiton,"Urban designs as practice-led research, John Hunt",https://goo.gl/images/1XVhGo,"Allowed for the public, mayor, and coucil to participate in what the precinct should look like. Public gave comment on designs.",,
"Linking People, City and Sea",Design Plans,,Design Compeition,2005,Auckland,,"ARC working with Auckland City Council and Ports of Auckland Ltd, ran a major public consultation about Auckland’s waterfront",Joel Cayford on QW Comp,"No document for 2005 could be found, but this 2007 document which references the 2005 document and plans was found (http://www.waterfrontauckland.co.nz/getmedia/bb3f86ae-a471-4656-85fa-5e01797e5a74/Urband-Design-Concepts-for-WQ-080607.pdf.aspx)",Looked to rework Queen's Wharf which eventually lead to desgin competition,,
Winning design,Design Plans,,design competition,2009,Britomart precinct,,winning design of competition,"Urban designs as practice-led research, John Hunt",find image of winning design,"historic pattern of city streets was reinstated, all heritage buildings were retained. Transport interchange interwove pattern of streets rather than entirely below ground.  New buildings were compatible with heritage buildings",,
Queens Wharf Design Competition Brief Stage 2,Design Plans,,Design Competition,2009,,,Official instructions for the second stage of the competition,QW Design Brief Stage 2,screenshot of document,"Guidelines for the competition - build a cruise ship facility, keep an open space/access to the water, promote image of NZ, be a part of the waterfront development",,
Supplementary Design Brief,Design Plans,,Design Competition,2009,,"-41.261811, 174.703505",Additional information for the second stage of the competition,Queens Wharf Supplementary Design Brief Information,Can use screenshot of document,Guidelines for the competition,,
RWC 2011 Venue,Design Plans,,Design Competition,2009,Queens Wharf,,Planned - provide public land/covered shelter for the 2011 RWC and other events,QW Design Brief Stage 2,find image of venue,It was part of the guidelines for the design competition,,
Assorted QW Design Submissions,Design Plans,,Design Competition,September 2009,Queens Wharf,,"Interesting submissions for the competition - 004, 019, 029, 030, 037, 039, 048, 063, 081 - Just in case no one else points it out -, 084, 121, 124, 128, 148, 150, 153, 161, 165, 171, 218",Tumeke! QW Round 1,unable to find this article,Potential submissions that were not used as the competition was canceled - would any of these have been better?,,
Tamaki-Herenga-Waka,Design Plans,,Maori and South Pacific heritage,March 2011,Auckland’s waterfront,"-36.840028, 174.768198","destination of voyagere, the place where Waka are tied up and where people are tied together and to the land","KIWA, Tamaki Herenga Waka",https://goo.gl/images/wDnDWV,"over1,000 years people arrived on Waka-vessels to make Auckland their home",,
Mace Development Ltd,Developer,,Princes Wharf development,,Prince Wharf,,construction firm seeking to rebuild Princes Wharf as a hotel and shopping center,The Auckland Waterfront Story Part 1,find image of Mace Development Ltd members,construction firm seeking to transform Princes wharf,,
AucklandPlus,Development Agency,,Improving Auckland visitor economy,December 2007,Auckland,"-36.841809, 174.765071",Auckland's economic development agency,ARC Queens Wharf Timeline,image could not be found,"Released report ""Bringing the World to Auckland"" which outlined the case for investment in Auckland's visitor economy. Highlights Queens Wharf as an attraction site",,
AucklandPlus,Development Agency,,Improving Auckland visitor economy,May 2008,Auckland,"-36.841809, 174.765071",Auckland's economic development agency,ARC Queens Wharf Timeline,can't find an image ,"Acknowledged cruise industry's contribution to Auckland and potential for further development in paper ""Positioning Auckland as a Major Events Destination""",,
Waterfront Auckland,Development Agency,,Waterfront development,,Auckland Waterfront,"-36.840028, 174.768198",development company,Waterfront Feb. Report,,development company,,
Britomart redevelopment project,Development Project,,redevelopment project,1958,Auckland waterfront port,"-36.844948, 174.770708",multi-level car park,"Urban designs as practice-led research, John Hunt",https://goo.gl/images/Ek2Xnw,reveals changes in design approach and kinds of participation,,
Britomart,Development Project,,,2000,Queens Wharf (and surrounding),"-36.844948, 174.770708",Previous instance to build on the wharf,https://www.radionz.co.nz/national/programmes/ninetonoon/20091105,see above for more images ,"Used as a comparison against the 2009 design competition, opportunities were overruled by focus on britomart",,
Central Rail Link,Development Project,CRL; urbanization,Taniwha,November 2010,Auckland,,Mayor Len Brown was able to pass a multi-million dollar project to provide public transit throughout Auckland. It's purpose is to connect downtown Auckland with the surrounding residential area. ,,,,,
VPT Route,Development Project,,Vic park tunnel plans,,Vic Park Tunnel,,Victoria Park Tunnel state highway project,Vic Park Tunnel plans (tunamau),,one of the states highway projects running through the city of Auckland,,
Wynyard Quarter,Development Project,,Waterfront development,,Auckland Waterfront,"-36.839037, 174.756679",residential development on the Auckland waterfront,Waterfront Feb. Report,find image of Wynyard Quarter,"development to become home to around 7,000 residents living both north and south of Pakenham Street by 2040",,
Queen's Wharf proposals,Development Project,,Queen's Wharf development,,Queens Wharf,,Proposal to construct a Maori cultural center or a passenger area,The Auckland Waterfront Story Part 1,,posible development on Queen's Wharf,,
Redevelopment proposal,Development Proposal,,proposal for new buildings,1994,Britomart precinct,"-36.844948, 174.770708",new tower blocks rising from large pedestrian plaza. with 5-level transport interchange below,"Urban designs as practice-led research, John Hunt",https://goo.gl/images/aBEnyA,proposal for new infrastructure,,
Redevelopment proposal,Development Proposal,,proposal for new buildings,1994,Britomart precinct,"-36.844948, 174.770708",objection upon the proposal,"Urban designs as practice-led research, John Hunt",https://goo.gl/images/aBEnyA,opposition to loss of heritage buildings prompted for modifications of the design- project came to a stop due to lack of public consultation.,,
Waterfront Vision 2040,Development Proposal,,Design Compeition,2005,Auckland,,Consultation to reconstruct Queens Wharf area,Joel Cayford on QW Comp,https://www.panuku.co.nz/www/uploads/moduleresourceitems/auckland-waterfront-vision-2040-2465b4d2ce.pdf,Looked to rework Queen's Wharf which eventually lead to desgin competition,,
Prince's Wharf,Development site,,Queen's Wharf,1998,Auckland,"-36.840330, 174.764992",Neighboring wharf to Queen's Wharf,Tumeke! QW Round 1,https://s-ec.bstatic.com/images/hotel/max1280x900/605/60589407.jpg,Author views the planning/design of Prince's Wharf as poor,,
Prince's Wharf,Development site,,Central Wharves Development,,,"-36.840330, 174.764992",,,,,,
Captain Cook Wharf,Development site,,Central Wharves Development,,,"-36.842446, 174.769864",,,,,,
Marsden Wharf,Development site,,Central Wharves Development,,,"-36.842786, 174.771109",,,,,,
Queen's Wharf,Development site,,Central Wharves Development,,,"-36.840268, 174.768070",,,,,,
Waitangi Tribunal,Governmental Body,,maori identity and rights,1891,,,implications of partition,"Local Maori development and government policies, Merata Kawharu",https://goo.gl/images/UzWUPM,larger problem was the failure of legislature to provide for tribal ownerfship... destroying the tribal principle meant destroying maori society,,
Native Land Court,Governmental Body,,maori identity and rights,1898,,,individualisation of catapulted Orakei,"Local Maori development and government policies, Merata Kawharu",https://goo.gl/images/fi6jZ5,"caused internal divisions between sellers and non-sellers, poverty, social dislocation and cultural upheavel.",,
Labour Government's Maori economic summit,Governmental Body,,economic summit,1945,,,"""closing the gaps"" policies were implemented","Local Maori development and government policies, Merata Kawharu",https://teara.govt.nz/files/p-25876-atl.jpg (This is for the 1984 event),"replaced ""closing the gaps"" with ""social equity"" ",,
Selection Body,Governmental Body,,Statutory Board Organizing,2009,Auckland,,the body is established when the chosen mana whenua group representatives meet for the first time,Te Puni Kokiri- realizing maori  potential,https://www.tpk.govt.nz/documents/download/228/tpk-aklmaoriboards-en-2010.pdf (no image of the selection body),to appoint members to the statutory board promoting issues of significance for mana whenua groups and matawaka of tamai makaurau,,
New Zealand Government,Governmental Body,,Design Competition,2009,New Zealand,,Leads New Zealand/is an authority,QW Design Brief Stage 2,find image of government building,"Along with the following two groups, released this brief / was a project sponsor",,
Select Committee on Auckland Governance Legislation,Governmental Body,,Supercity,"May 18th, 2009",Auckland,"-41.277744, 174.776371",Committee in charge of legislation over governance of Auckland,no supercity without Maori letter to parliment,https://www.parliament.nz/resource/en-NZ/49NZPHomeNews180520091/76493e4da507359d1962bbe18367028bf7ee7ab3,Making decisions about the role of Maori people in government of new super city,,
ARC Council Voting,Governmental Body,,Design Compeition,2009,Auckland,,first time that ARC actually voted for Queens Wharf to become Auckland's primary cruise ship terminal,Joel Cayford on QW Comp,http://joelcayford.blogspot.com/2010/07/arc-votes-to-combine-slug-shed-on-qw.html (This blog contains multiple images which could be used),Cruise ship terminal requirement developed for whatever ended up happenign for Queen's Wharf,,
Ministry of Economic Development for Auckland,Governmental Body,,Improving Auckland visitor economy,September 2008,Auckland,,Ministry of Economic Development for Auckland,ARC Queens Wharf Timeline,https://upload.wikimedia.org/wikipedia/en/5/51/Ministry_of_Economic_Development_%28New_Zealand%29_logo.png,"Commissioned a study on the value of cruise ship industry to Auckland and New Zealand on report ""Understanding the Cruise Ship Industry"", which was delivered to Government and cruise stakeholders",,
ACT,Governmental Body,,Supercity,April 2009,Auckland,"-41.277744, 174.776371",Right-wing olitical party,no supercity without Maori letter to parliment,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/ACT_New_Zealand.png/270px-ACT_New_Zealand.png,"Incoming government control, declined need for Maori representation",,
Government,Governmental Body,,Improving Auckland visitor economy,June 2009,Auckland,,Government,ARC Queens Wharf Timeline,(we can embedd the article) https://www.newshub.co.nz/nznews/govt-council-purchase-queens-wharf-to-benefit-auckland-tourism-2009061518,Announces purchase of whaf from Ports of Auckland Ltd for $40 million and confirm it will be opened to the public by the RWC 2011 and a developed cruise terminal,,
Government,Governmental Body,,Improving Auckland visitor economy,August 2009,Auckland,,Government,ARC Queens Wharf Timeline,embedd news article about this/no real image to attach with it,Sponsor of Queens Wharf design competition,,
Te Puni Kokori,Governmental Body,tuppawaka,Tuppawaka,"April 6th, 2011",Auckland,,"It is announced that Te Puni Kokori, the Ministry of Maori Development, will be funneling $800,000 into the Waka Maori project.",https://docs.google.com/document/d/1DyZ8s6mnDLkUOcDkoGq-qTrtEUOWLo_2HodfIF0R_Ok/edit?usp=sharing,,,,
Maritime Planning Authority,Governmental Body,,Auckland Waterfront Story,,Auckland Waterfront,,Maritime Planning Authority with duo role in the Auckland Harbor Board,The Auckland Waterfront Story Part 1,find image of Maritime Planning Authority members,counsil that oversaw the ackland waterfront,,
Waitangi Tribunal claims,Group,,maori identity and rights,1998,,,reports that the tribunal claims drew attention to historical events and policies for kin groups,"Local Maori development and government policies, Merata Kawharu",https://goo.gl/images/UzWUPM,issues with the Crown due to wanting indivisualization of title,,
External Reference Group,Group,,design competition,2009,Britomart precinct,,"monitor and contribute to development phase, comprised of judging panel from competition, some stakeholder groups, and the Historic Places Trust (national heritage organization), and city retailers association","Urban designs as practice-led research, John Hunt",find image of External Reference Group,1. provide advice during design development phase 2. ensure winning design from comp. were retained 3. make sure stakeholder groups' requirements were met 4. promote integration of the development with wider city 5. provide forum with design consultants and stakeholders,,
Reference Group operation,Group,,design competition,2009,Britomart precinct,,place for stakeholders to understand needs and interest of others,"Urban designs as practice-led research, John Hunt",find image of those who participated in forum,created space for stakeholders to communicate individual interests that could be put together,,
Design consultant team,Group,,Design Competition,2009,Auckland,,Team of architects,QW Design Brief Stage 2,find image of people involved,Will be appointed by the project sponsors for the project,,
The Royal Commission on Auckland Governance,Group,,Supercity,March 2009,Auckland,"Cannot find a location, not sure where this commission would have met?",Group addressing local government workability in Auckland,no supercity without Maori letter to parliment,not sure what image to find,Reccomended that Maori be represented by 3 seats on Auckland city council and Maori forum which would appoint members of advisory committe,,
‘watershed’ grouping,Group,,Design Cometition,October 2009,Auckland,5 different groups?,Unspecified team of architects,Cross Section: Queen's Wharf Moves On,https://watershednz.co.nz/wp-content/uploads/2018/10/watershed_logo-1.png,Stage 1 finalist,,
Client of architect - people of Auckland,Group,,Design Cometition,November 2009,Auckland,N/A,Addressed by Beverly McCrae,https://www.radionz.co.nz/national/programmes/ninetonoon/20091105,,The people of Auckland or New Zealand,,
Client of architect - city of Aukland,Group,,Design Cometition,November 2009,Auckland,N/A,Addressed by Beverly McCrae,https://www.radionz.co.nz/national/programmes/ninetonoon/20091105,,Auckland as a city (moreso the government),,
Auckland Youth,Group,,Maori and South Pacific heritage,March 2011,Auckland’s waterfront,,maori  and pacific island youth (under 24) are experiencing marginalisation in Auckland City with over 30% unemploymed,"KIWA, Tamaki Herenga Waka",find image of group,building of the center can be an educational experience and tourists will be attracted total vitality and creativity of maori* youth,,
Auckland Regional Authority,Group,,redevelopment project,1963-1989,Auckland,,Transportation authority,Cultural heritage as an agent in contemporary urban redevelopment: an Auckland city case study,find image,called for urgent redevelopment of Britomart bus terminal,,
MAPO (maoi co-purchasing organizations),Group,,maori identity and rights,1990s,Northern region maori,,"retains local interests and needs; see ""Te Tai Tokerau MAPO""; ""Northern Regional Health Authority""","Local Maori development and government policies, Merata Kawharu",find image of MAPO,"similarities between pan-rival ad kin-group priorities, but also considered the priorities within the group themselves.",,
Iwi,Group,,Consultation for vic park plans,,Vic Park Tunnel,,tribe of Maori people,Vic Park Tunnel plans (tunamau),,Were part of the consultation for the VPT design,,
Maori,Group,,Auckland Waterfront Story,,New Zealand,,Indigenous people of NZ,The Auckland Waterfront Story Part 2,,Were not so vastly included in the designs,,
Iwi,Group of people,,NZ Today,around 1300,New Zealand,,Tribal groups of NZ,Smith. NZ unsettled state,https://upload.wikimedia.org/wikipedia/commons/d/dc/NZTerritorialAuthorities.png,Working towards Treaty settlements to right historical wrongs,,
Pakeha,Group of people,,NZ Today,around 1800,New Zealand,,Non-Maori peoples of NZ,Smith. NZ unsettled state,http://christchurchcitylibraries.com/Heritage/Photos/Collection21/04-81-329.jpg,"Some argue that they are now indigenous to NZ based on how long they have lived there - settler presence is being naturalized, yet challenged by indigenous peoples",,
Growing Pressure for Maori Representation in Urban Planning,Historical Trend,,history of the waterfront,,Auckland Waterfront,,,Waterfront interview,find image of structures,"Te Papa, Waka stadium, Viaduct and Te Wero bridge and waharoa gave way for more input from Maori",,
Felton Mathew,Human,,Development of Auckland,1839,Auckland,,New Zealand's first surveyor general,Cultural heritage as an agent in contemporary urban redevelopment: an Auckland city case study,https://i.pinimg.com/originals/19/8a/60/198a6071615326048039cedefef8ee49.jpg,Helped the original development of the Britomart area,,
Horace Belshaw,Human,,questioning of maori identity,1940,,,realized importance of turangawaewae,"Local Maori development and government policies, Merata Kawharu",https://goo.gl/images/UJKCRV,"found that cultural foundations-moral and material- provide security, capacity, and incentive, these are all things that are crucial to the maori people.",,
Captain Hobson,Human,,Voting,2009,Auckland,,arrived in 1841 to establish government,"Merata  Kawharu: Maori deserve own voice in Super City, NZ Herald",https://goo.gl/images/SpmHUq,only the best was offered to hobson so that he understood the significance of ngati whatua’s mana in Auckland.,,
Tuahere,Human,,Voting,2009,Auckland,,made advisor to the Superintendent of the Provincial Government and member of Auckland Provincial Executive Committee in 1870s,"Merata  Kawharu: Maori deserve own voice in Super City, NZ Herald",https://teara.govt.nz/files/T254_2-073329tuahere.jpg,was concerened to seek out a path in administration in accordance with the Treaty,,
Brian Rudman,Human,,Design Competition,2009,New Zealand,,,"Queen's Wharf: Let's decide exactly what we want, by Aaron Sills",https://s3.amazonaws.com/arc-authors/nzme/003dcb1f-3e35-4943-9624-913b6f0a5aae.png (from NZ herald),"Criticized the design competition by calling it ""fatally flawed"" and overrun by ""big name firms""",,
John Hunt,Human,,Design Competition,2009,New Zealand,,Member of advisory panel,"Queen's Wharf: Let's decide exactly what we want, by Aaron Sills","Can't find an image, need more info on the person",,,
Stakeholder groups,Human,,design competition,2009,Britomart precinct,,"public transport interests, property development interests, political leaders within the City Coucil, local Maori (with whom the City Council had a partnership agreement), independent architects, and urban design specialists. ","Urban designs as practice-led research, John Hunt",find image of stakeholder groups together,part of the decision making process in the designs,,
Barry Copeland,Human,,design competition,2009,Queens Wharf,,architect,"Wharf designs misses the boat, NZ Herald",find image of barry copeland,expressed lack of public acess and sustainability in Queens Wharf designs,,
Peter Hollenstein,Human,,design competition,2009,Queens Wharf,,architect,"Wharf designs misses the boat, NZ Herald",find image of peter hollenstein,architect within competition who fought for sustainable energy,,
Sam Bourne,Human,,design competition,2009,Queens Wharf,,Landscape architect,"Wharf designs misses the boat, NZ Herald",find image of Sam Bourne,discussed the overlook of the cruise ship terminal in Queens Wharf designs,,
Matthew Glubb,Human,,The Cloud construction,2011,Queens Wharf,"-36.850252, 174.778183",1/2 main architect for The Cloud,Jasmax - The Cloud,https://www.jasmax.com/media/1001/mattg-insitu-2.jpg?anchor=center&mode=crop&width=476&height=328&rnd=131829927240000000,One of two main architects from Jasmax on the Cloud,2/22 Shelby,
Valentina Machina,Human,,The Cloud construction,2011,Queens Wharf,"-36.850252, 174.778183",2/2 main architect of the Cloud,Jasmax - The Cloud,https://www.jasmax.com/media/1001/valentina-insitu.jpg?anchor=center&mode=crop&width=476&height=328&rnd=131873996770000000,One of two main architects from Jasmax on the Cloud,2/22 Shelby,
Ann Sherry,Human,,Improving Auckland visitor economy,February 2008,Auckland,,Chief executive of Carnival Australia Cruise Company,ARC Queens Wharf Timeline,https://pbs.twimg.com/profile_images/736796340584210432/DhhU81sb.jpg,Claimed New Zealand's tourism industry had not embraced cruising and appeared unwilling to invest in the required facilities,,
Michael Barnett,Human,,Improving Auckland visitor economy,February 2008,Auckland,,ARC Member,ARC Queens Wharf Timeline,https://www.aucklandchamber.co.nz/media/48291249/mfb-2-march-2018.jpg?width=500&height=228.0701754385965,Wrote think-piece for ARC on the benefits of a cruise terminal and public open space on Queens Wharf,,
Jane Simmonds,Human,,Design Competition,September 2009,Auckland,,Waterfront Programme Manager,Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,couldn't find accurate photo,Author of Waterfront Update - Queens Wharf and Marine Events Centre,,
Mark Vinall,Human,,Design Competition,September 2009,Auckland,,"Group Manager, Auckland City Environments",Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,couldn't find accurate photo,Reviewer of Waterfront Update - Queens Wharf and Marine Events Centre,,
John Duthie,Human,,Design Competition,September 2009,Auckland,,"General Manager, City Development",Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,couldn't find accurate photo,Approver of Waterfront Update - Queens Wharf and Marine Events Centre,,
Den Aitken,Human,,Design Competition,September 2009,Auckland,,Field Landscape Architecture,Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,couldn't find photo of him but found his design (https://worldlandscapearchitect.com/wp-content/uploads/2009/09/Field-Landscape-Architectur.jpg),Finalist in design comptetition,,
Pete Griffins,Human,,Design Competition,September 2009,Auckland,,Field Landscape Architecture,Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,see above (part of the team who made this design),Finalist in design comptetition,,
John Coop,Human,,Design Competition,September 2009,Auckland,,Tasman Studio,Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,https://worldlandscapearchitect.com/wp-content/uploads/2009/09/1951.jpg,Finalist in design comptetition,,
Simon Williams,Human,,Design Competition,September 2009,Auckland,"-36.861181, 174.758352",Williams Architects Ltd,Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,https://worldlandscapearchitect.com/wp-content/uploads/2009/09/2161.jpg,Finalist in design comptetition,,
John Hunt,Human,,Design Competition,September 2009,Auckland,,Professor,Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,https://media.licdn.com/dms/image/C5603AQFRs96vhAIPxw/profile-displayphoto-shrink_200_200/0?e=1557360000&v=beta&t=6rakEGhtrTmj998_mCmDoxqK1EFICUy3vofGObF0mn4,"Advisory pannel on the design finalists for the CEOs of the Ministry of Economic Development, Auckland Regional Council, and the Auckland City Council ",,
Rebecca Skidmore,Human,,Design Competition,September 2009,Auckland,,,Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,could not find photo,"Advisory pannel on the design finalists for the CEOs of the Ministry of Economic Development, Auckland Regional Council, and the Auckland City Council ",,
Jillian de Beer,Human,,Design Competition,September 2009,Auckland,,,Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,https://media.licdn.com/dms/image/C5603AQFPEYhVbQ2FIQ/profile-displayphoto-shrink_200_200/0?e=1557360000&v=beta&t=n_ZhPOzONq6ajqEz_THdR1e_lQ7crTpe89iqsrpJn10,"Advisory pannel on the design finalists for the CEOs of the Ministry of Economic Development, Auckland Regional Council, and the Auckland City Council ",,
Graeme McIndoe,Human,,Design Competition,September 2009,Auckland,,,Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,https://www.qldc.govt.nz/assets/Uploads/_resampled/ResizedImage150224-Graeme-McIndoe.jpg,"Advisory pannel on the design finalists for the CEOs of the Ministry of Economic Development, Auckland Regional Council, and the Auckland City Council ",,
Tim Selwyn,Human,,design competition,9/13/2009,Queens Wharf,,architect,Tumeke-Queen's Wharf design competition [UPDATED - review],can't find image ,author and architect,,
Wrote up Mike Lee vs. John Banks scandal,Human,,Supercity,October 2009,Auckland,,Auckland City Mayor,IN PICTURES: How 5 finalists want Queens Wharf to look,find image,Compeition finalist selection panel,,
Jillian de Beer,Human,,Design Cometition,October 2009,Auckland,,Auckland City Council creative sector marketing and communications,IN PICTURES: How 5 finalists want Queens Wharf to look,see previous image on de beer,Advisor to finalist selection panel,,
Graeme McIndoe,Human,,Design Cometition,October 2009,Auckland,,Victoria University senior architecture lecturer,IN PICTURES: How 5 finalists want Queens Wharf to look,see previous image on mcindoe,Advisor to finalist selection panel,,
Rebecca Skidmore,Human,,Design Cometition,October 2009,Auckland,,urban designer,IN PICTURES: How 5 finalists want Queens Wharf to look,see previous image on skidmore,Advisor to finalist selection panel,,
John Hunt,Human,,Design Cometition,October 2009,Auckland,,University of Auckland School of Architecture and Planning Professor,IN PICTURES: How 5 finalists want Queens Wharf to look,see previous image on hunt,Advisor to finalist selection panel,,
Beverley McCrae,Human,,Design Cometition,November 2009,Auckland,"-36.841999, 174.756575",Cheif Executive of the Newzealnd Instature of Architects,https://www.radionz.co.nz/national/programmes/ninetonoon/20091105,unable to find,"Critic of comptition (problematic briefing, costs, time frame)",,
Kevin Clarke,Human,,Design Cometition,November 2009,Auckland,"-36.824151, 174.749275",Architect,https://www.radionz.co.nz/national/programmes/ninetonoon/20091105,on left: http://www.architectassociates.co.nz/files/2812/7070/6630/ArchAssoc_005.jpg,"Competition applicant, critic (confusing goals, flawed process, skewed judging, small budget: answered wrong problem)",,
Dushko Bogunovich,Human,,Design Cometition,November 2009,Auckland,"-36.880680, 174.707747",Unitec associate professor of urban design,https://www.radionz.co.nz/national/programmes/ninetonoon/20091105,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREA4xqvL6EkecGZFy109nyKVY0ycCztezF8H97o1KCT9NqeIwL8w,"Critic of comptition (messy brief, retaining sheds, two-stage process, time loss)",,
Mark Graham,Human,,Design Compeition,access to this doc?,Auckland,,Auckland publisher,Mark Graham: Give Auckland some South Pacific culture,find image,Native Aucklander and supporter of the Tuppawaka,,
Jo Smith,Human,,NZ Today,article published 28 Feb 2013,New Zealand,,"Of the Victoria University of Wellington, wrote the article ""Aotearoa/New Zealand: An Unsettled State in a Sea of Islands""",Smith. NZ unsettled state,https://www.tandfonline.com/doi/abs/10.1080/2201473X.2011.10648803,"Provides social commentary on NZ national identity/settler colonialism - still ongoing in NZ, must consider its impacts",,
Martin Snedden,Human,tuppawaka; rugby,Tuppawaka,"August 26th, 2011",Auckland,,"Rugby New Zealand Chief Executive, he was considered as an integral part of the activities involving the Waka Maori.",https://docs.google.com/document/d/1DyZ8s6mnDLkUOcDkoGq-qTrtEUOWLo_2HodfIF0R_Ok/edit?usp=sharing,,,,
Patrick Clifford,Human,,Design Compeition,entire design competition,Queens Wharf,"-36.850252, 174.778183",Architect on the Jazmax/Architectus team,John Hunt write up,find image,Architect part of Jasmax / Architectus group that submitted design,,
Joe Pihema,Human,tuppawaka,Tuppawaka,"July 26th, 2011",Auckland,,"""The deal was done with little consultation and mainly behind closed doors. This waka will only benefit a small circle of people."" ",https://docs.google.com/document/d/1DyZ8s6mnDLkUOcDkoGq-qTrtEUOWLo_2HodfIF0R_Ok/edit?usp=sharing,,,,
John Hunt,Human,,Design Compeition,starting 1979,Queens Wharf,,University of Auckland Architecture Professor,John Hunt write up,find image,Expert advisor of competition,,
Harry Julian,Human,,Auckland Waterfront Story,,Auckland Waterfront,"-36.840028, 174.768198",Harbour Board chairman,The Auckland Waterfront Story Part 2,find image of harry julian,Harbour Board chairman who had plans for the waterfront with limited public acess,,
John Gundesen,Human,,Waterfront development,,Auckland Waterfront,"-36.840028, 174.768198",,Waterfront Feb. Report,find image of John Gundesen,asked look at a marketing campaign around the historic past which will link with the tram and wharf development,,
Bell Gully,Human,,Waterfront development,,Auckland Waterfront,"-36.840028, 174.768198",,Waterfront Feb. Report,find image of Bell Gully,retained to rework the Framework Agreement,,
Sir Ron Carter,Human,tuppawaka,Tuppawaka,,Auckland,,"European New Zealander, publishes an article in favor of the  Waka Maori. Also combatting concerns that this will only benefit the economy of Auckland, saying that an Auckland event is a New Zealand event. He quotes, ""Rather than be disrespectful to Maori culture I would suggest the waka building is a pointer to the place Maori will take in our society in the coming decades.”",https://docs.google.com/document/d/1DyZ8s6mnDLkUOcDkoGq-qTrtEUOWLo_2HodfIF0R_Ok/edit?usp=sharing,,,,
Doug Lloyd,Human ,tuppawaka,Tuppawaka,"April 6th, 2011",Auckland,,"Doug Lloyd, AUT advertising professor, criticizes the use of Maori culture as a selling point for New Zealand. He is confused about why Maori culture is being commodified for the Rugby World Cup.",https://docs.google.com/document/d/1DyZ8s6mnDLkUOcDkoGq-qTrtEUOWLo_2HodfIF0R_Ok/edit?usp=sharing,,,,
Treaty of Waitangi Claims,Law,,NZ Today,1840,New Zealand,,Allow iwi to make claims and speak for themselves,Smith. NZ unsettled state,https://www.govt.nz/browse/history-culture-and-heritage/treaty-of-waitangi-claims/settling-historical-treaty-of-waitangi-claims/,Important aspect of iwi influence and power in NZ,,
